Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
Security Assessment,3.12.1[b],03.12.01.b,,security controls are assessed with the defined frequency to determine if the controls are effective in their application.,,,
Security Assessment,3.12.2,03.12.02.0,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems,Determine if:,[SELECT FROM: Security assessment and authorization policy; procedures addressing plan of action; security plan; security assessment plan; security assessment report; security assessment evidence; plan of action; other relevant documents or records]. ,[SELECT FROM: Personnel with plan of action development and implementation responsibilities; personnel with information security responsibilities]. ,"[SELECT FROM: Mechanisms for developing, implementing, and maintaining plan of action]. "
Security Assessment,3.12.2[a],03.12.02.a,,deficiencies and vulnerabilities to be addressed by the plan of action are identified.,,,
Security Assessment,3.12.2[b],03.12.02.b,,a plan of action is developed to correct identified deficiencies and reduce or eliminate identified vulnerabilities.,,,
Security Assessment,3.12.2[c],03.12.02.c,,the plan of action is implemented to correct identified deficiencies and reduce or eliminate identified vulnerabilities.,,,
Security Assessment,3.12.3,03.12.03.0,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls. ,Determine if security controls are monitored on an ongoing basis to ensure the continued effectiveness of those controls.,[SELECT FROM: Security planning policy; organizational procedures addressing security plan development and implementation; procedures addressing security plan reviews and updates; enterprise architecture documentation; security plan; records of security plan reviews and updates; other relevant documents or records]. ,[SELECT FROM: Personnel with security planning and plan implementation responsibilities; personnel with information security responsibilities]. ,"[SELECT FROM: Organizational processes for security plan development, review, update, and approval; mechanisms supporting the security plan]. "
Security Assessment,3.12.4,03.12.04.0,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems. ",Determine if:,[SELECT FROM: Security planning policy; procedures addressing security plan development and implementation; procedures addressing security plan reviews and updates; enterprise architecture documentation; security plan; records of security plan reviews and updates; other relevant documents or records]. ,[SELECT FROM: Personnel with security planning and plan implementation responsibilities; personnel with information security responsibilities]. ,"[SELECT FROM: Organizational processes for security plan development, review, update, and approval; mechanisms supporting the security plan]. "
Security Assessment,3.12.4[a],03.12.04.a,,a system security plan is developed.,,,
Security Assessment,3.12.4[b],03.12.04.b,,the system boundary is described and documented in the system security plan. ,,,
Security Assessment,3.12.4[c],03.12.04.c,,the system environment of operation is described and documented in the system security plan.,,,
Security Assessment,3.12.4[d],03.12.04.d,,the security requirements identified and approved by the designated authority as non-applicable are identified.,,,
Security Assessment,3.12.4[e],03.12.04.e,,the method of security requirement implementation is described and documented in the system security plan.,,,
Security Assessment,3.12.4[f],03.12.04.f,,the relationship with or connection to other systems is described and documented in the system security plan.,,,
Security Assessment,3.12.4[g],03.12.04.g,,the frequency to update the system security plan is defined.,,,
Security Assessment,3.12.4.[h],03.12.04.h,,system security plan is updated with the defined frequency.,,,
