Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
Access Control,3.1.1,03.01.01.0,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",Determine If: ,"[SELECT FROM: Access control policy; procedures addressing account management; security plan; system design documentation; system configuration settings and associated documentation; list of active system accounts and the name of the individual associated with each account; list of conditions for group and role membership; notifications or records of recently transferred, separated, or terminated employees; list of recently disabled system accounts along with the name of the individual associated with each account; access authorization records; account management compliance reviews; system monitoring records; system audit logs and records; other relevant documents or records; list of devices and other systems authorized to connect to organizational systems].",[SELECT FROM: Personnel with account management responsibilities; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Organizational processes for managing system accounts; mechanisms for implementing account management].
Access Control,"3.1.1[a]	 ",03.01.01.a,,authorized users are identified.,,,
Access Control,3.1.1[b] ,03.01.01.b,,processes acting on behalf of authorized users are identified.,,,
Access Control,3.1.1[c],03.01.01.c,,devices (including other systems) authorized to connect to the system are identified.,,,
Access Control,3.1.1[d],03.01.01.d,,system access is limited to authorized users.,,,
Access Control,3.1.1[e],03.01.01.e,,system access is limited to processes acting on behalf of authorized users.,,,
Access Control,3.1.1[f],03.01.01.f,,system access is limited to authorized devices (including other systems).,,,
Access Control,3.1.2,03.01.02.0,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,Determine if:,"[SELECT FROM: Access control policy; procedures addressing access enforcement; security plan; system design documentation; list of approved authorizations (user privileges) including remote access authorizations; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].

",[SELECT FROM: Personnel with access enforcement responsibilities; system or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy].
Access Control,3.1.2[a],03.01.02.a,,the types of transactions and functions that authorized users are permitted to execute are defined,,,
Access Control,3.1.2[b],03.01.02.b,,system access is limited to the defined types of transactions and functions for authorized users.,,,
Access Control,3.1.3,03.01.03.0,Control the flow of CUI in accordance with approved authorizations.,Determine if:,"[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; security plan; system design documentation; system configuration settings and associated documentation; list of information flow authorizations; system baseline configuration; system audit logs and records; other relevant documents or records].

",[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
Access Control,3.1.3[a],03.01.03.a,,information flow control policies are defined.,,,
Access Control,3.1.3[b],03.01.03.b,,methods and enforcement mechanisms for controlling the flow of CUI are defined.,,,
Access Control,3.1.3[c],03.01.03.c,,"	designated sources and destinations (e.g., networks, individuals, and devices) for CUI within systems and between interconnected systems are identified.",,,
Access Control,3.1.3[d],03.01.03.d,,"	authorizations for controlling the flow of CUI are defined.",,,
Access Control,3.1.3[e],03.01.03.e,,"
	approved authorizations for controlling the flow of CUI are enforced.",,,
Access Control,3.1.4,03.01.04.0,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Determine if:,[SELECT FROM: Access control policy; procedures addressing divisions of responsibility and separation of duties; security plan; system configuration settings and associated documentation; list of divisions of responsibility and separation of duties; system access authorizations; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for defining divisions of responsibility and separation of duties; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Mechanisms implementing separation of duties policy].
Access Control,3.1.4[a],03.01.04.a,,the duties of individuals requiring separation to reduce the risk of malevolent activity are defined.,,,
Access Control,3.1.4[b],03.01.04.b,,organization-defined duties of individuals requiring separation are separated.,,,
Access Control,3.1.4[c],03.01.04.c,,separate accounts for individuals whose duties and accesses must be separated to reduce the risk of malevolent activity or collusion are established,,,
Access Control,3.1.5,03.01.05.0,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Determine if:,"[SELECT FROM: Access control policy; procedures addressing account management; security plan; system design documentation; system configuration settings and associated documentation; list of active system accounts and the name of the individual associated with each account; list of conditions for group and role membership; notifications or records of recently transferred, separated, or terminated employees; list of recently disabled system accounts along with the name of the individual associated with each account; access authorization records; account management compliance reviews; system monitoring/audit records; other relevant documents or records; procedures addressing least privilege; list of security functions (deployed in hardware, software, and firmware) and security-relevant information for which access must be explicitly authorized; list of system-generated privileged accounts; list of system administration personnel].",[SELECT FROM: Personnel with account management responsibilities; system or network administrators; personnel with information security responsibilities; personnel with responsibilities for defining least privileges necessary to accomplish specified tasks].,[SELECT FROM: Organizational processes for managing system accounts; mechanisms for implementing account management; mechanisms implementing least privilege functions; mechanisms prohibiting privileged access to the system].
Access Control,3.1.5[a],03.01.05.a,,privileged accounts are identified.,,,
Access Control,3.1.5[b],03.01.05.b,,access to privileged accounts is authorized in accordance with the principle of least privilege.,,,
Access Control,3.1.5[c],03.01.05.c,,security functions are identified.,,,
Access Control,3.1.5[d],03.01.05.d,,access to security functions is authorized in accordance with the principle of least privilege.,,,
Access Control,3.1.6,03.01.06.0,Use non-privileged accounts or roles when accessing nonsecurity functions.,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; security plan; list of system-generated security functions assigned to system accounts or roles; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for defining least privileges necessary to accomplish specified organizational tasks; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Mechanisms implementing least privilege functions].
Access Control,3.1.6[a],03.01.06.a,,nonsecurity functions are identified.,,,
Access Control,3.1.6[b],03.01.06.b,,users are required to use non-privileged accounts or roles when accessing nonsecurity functions.,,,
Access Control,3.1.7,03.01.07.0,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Determine if:,[SELECT FROM: Access control policy; procedures addressing least privilege; security plan; system design documentation; list of privileged functions and associated user account assignments; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for defining least privileges necessary to accomplish specified tasks; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing least privilege functions for non-privileged users; mechanisms auditing the execution of privileged functions].
Access Control,3.1.7[a],03.01.07.a,,privileged functions are defined.,,,
Access Control,3.1.7[b],03.01.07.b,,non-privileged users are defined.,,,
Access Control,3.1.7[c],03.01.07.c,,non-privileged users are prevented from executing privileged functions.,,,
Access Control,3.1.7[d],03.01.07.d,,the execution of privileged functions is captured in audit logs.,,,
Access Control,3.1.8,03.01.08.0,Limit unsuccessful logon attempts.,Determine if:,[SELECT FROM: Access control policy; procedures addressing unsuccessful logon attempts; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with information security responsibilities; system developers; system or network administrators].,[SELECT FROM: Mechanisms implementing access control policy for unsuccessful logon attempts].
Access Control,3.1.8[a],03.01.08.a,,the means of limiting unsuccessful logon attempts is defined.,,,
Access Control,3.1.8[b],03.01.08.b,,the defined means of limiting unsuccessful logon attempts is implemented. ,,,
Access Control,3.1.9,03.01.09.0,Provide privacy and security notices consistent with applicable CUI rules.,Determine if:,"SELECT FROM: Access control policy; privacy and security policies, procedures addressing system use notification; documented approval of system use notification messages or banners; system audit logs and records; system design documentation; user acknowledgements of notification message or banner; security plan; system use notification messages; system configuration settings and associated documentation; other relevant documents or records].",[SELECT FROM: System or network administrators; personnel with information security responsibilities; personnel with responsibility for providing legal advice; system developers].,[SELECT FROM: Mechanisms implementing system use notification].
Access Control,3.1.9[a],03.01.09.a,,"privacy and security notices required by CUI-specified rules are identified, consistent, and associated with the specific CUI category",,,
Access Control,3.1.9[b],03.01.09.b,,privacy and security notices are displayed.,,,
Access Control,3.1.10,03.01.10.0,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,Determine if:,[SELECT FROM: Access control policy; procedures addressing session lock; procedures addressing identification and authentication; system design documentation; system configuration settings and associated documentation; security plan; other relevant documents or records].,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy for session lock].
Access Control,3.1.10[a],03.01.10.a,,the period of inactivity after which the system initiates a session lock is defined.,,,
Access Control,3.1.10[b],03.01.10.b,,access to the system and viewing of data is prevented by initiating a session lock after the defined period of inactivity.,,,
Access Control,3.1.10[c],03.01.10.c,,previously visible information is concealed via a pattern-hiding display after the defined period of inactivity.,,,
Access Control,3.1.11,03.01.11.0,Terminate (automatically) a user session after a defined condition.,Determine if:,[SELECT FROM: Access control policy; procedures addressing session termination; system design documentation; security plan; system configuration settings and associated documentation; list of conditions or trigger events requiring session disconnect; system audit logs and records; other relevant documents or records].,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing user session termination].
Access Control,3.1.11[a],03.01.11.a,,conditions requiring a user session to terminate are defined.,,,
Access Control,3.1.11[b],03.01.11.b,,a user session is automatically terminated after any of the defined conditions occur.,,,
Access Control,3.1.12,03.01.12.0,Monitor and control remote access sessions.,Determine if:,[SELECT FROM: Access control policy; procedures addressing remote access implementation and usage (including restrictions); configuration management plan; security plan; system configuration settings and associated documentation; remote access authorizations; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for managing remote access connections; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Remote access management capability for the system].
Access Control,3.1.12[a],03.01.12.a,,remote access sessions are permitted.,,,
Access Control,3.1.12[b],03.01.12.b,,the types of permitted remote access are identified.,,,
Access Control,3.1.12[c],03.01.12.c,,remote access sessions are controlled.,,,
Access Control,3.1.12[d],03.01.12.d,,remote access sessions are monitored.,,,
Access Control,3.1.13,03.01.13.0,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,Determine if:,[SELECT FROM: Access control policy; procedures addressing remote access to the system; security plan; system design documentation; system configuration settings and associated documentation; cryptographic mechanisms and associated configuration documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Cryptographic mechanisms protecting remote access sessions].
Access Control,3.1.13[a],03.01.13.a,,cryptographic mechanisms to protect the confidentiality of remote access sessions are identified.,,,
Access Control,3.1.13[b],03.01.13.b,,cryptographic mechanisms to protect the confidentiality of remote access sessions are implemented.,,,
Access Control,3.1.14,03.01.14.0,Route remote access via managed access control points.,Determine if:,[SELECT FROM: Access control policy; procedures addressing remote access to the system; security plan; system design documentation; list of all managed network access control points; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: System or network administrators; personnel with information security responsibilities].,[SELECT FROM: Mechanisms routing all remote accesses through managed network access control points].
Access Control,3.1.14[a],03.01.14.a,,managed access control points are identified and implemented.,,,
Access Control,3.1.14[b],03.01.14.b,,remote access is routed through managed network access control points.,,,
Access Control,3.1.15,03.01.15.0,Authorize remote execution of privileged commands and remote access to security-relevant information.,Determine if:,[SELECT FROM: Access control policy; procedures addressing remote access to the system; system configuration settings and associated documentation; security plan; system audit logs and records; other relevant documents or records].,[SELECT FROM: System or network administrators; personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing remote access management].
Access Control,3.1.15[a],03.01.15.a,,privileged commands authorized for remote execution are identified.,,,
Access Control,3.1.15[b],03.01.15.b,,security-relevant information authorized to be accessed remotely is identified.,,,
Access Control,3.1.15[c],03.01.15.c,,the execution of the identified privileged commands via remote access is authorized.,,,
Access Control,3.1.15[d],03.01.15.d,,access to the identified security-relevant information via remote access is authorized.,,,
Access Control,3.1.16,03.01.16.0,Authorize wireless access prior to allowing such connections.,Determine if:,[SELECT FROM: Access control policy; configuration management plan; procedures addressing wireless access implementation and usage (including restrictions); security plan; system design documentation; system configuration settings and associated documentation; wireless access authorizations; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for managing wireless access connections; personnel with information security responsibilities].,[SELECT FROM: Wireless access management capability for the system].
Access Control,3.1.16[a] ,03.01.16.a,,wireless access points are identified.,,,
Access Control,3.1.16[b],03.01.16.b,,wireless access is authorized prior to allowing such connections.,,,
Access Control,3.1.17,03.01.17.0,Protect wireless access using authentication and encryption.,Determine if:,[SELECT FROM: Access control policy; system design documentation; procedures addressing wireless implementation and usage (including restrictions); security plan; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing wireless access protections to the system].
Access Control,3.1.17[a] ,03.01.17.a,,wireless access to the system is protected using encryption.,,,
Access Control,3.1.17[b],03.01.17.b,,wireless access to the system is protected using authentication.,,,
Access Control,3.1.18,03.01.18.0,Control connection of mobile devices.,Determine if:,[SELECT FROM: Access control policy; authorizations for mobile device connections to organizational systems; procedures addressing access control for mobile device usage (including restrictions); system design documentation; configuration management plan; security plan; system audit logs and records; system configuration settings and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel using mobile devices to access organizational systems; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Access control capability authorizing mobile device connections to organizational systems].
Access Control,3.1.18[a],03.01.18.a,,"mobile devices that process, store, or transmit CUI are identified.",,,
Access Control,3.1.18[b],03.01.18.b,,the connection of mobile devices is authorized.,,,
Access Control,3.1.18[c],03.01.18.c,,mobile device connections are monitored and logged.,,,
Access Control,3.1.19,03.01.19.0,Encrypt CUI on mobile devices and mobile computing platforms.,Determine if:,,,
Access Control,3.1.19[a],03.01.19.a,,"mobile devices and mobile computing platforms that process, store, or transmit CUI are identified.",[SELECT FROM: Access control policy; procedures addressing access control for mobile devices; system design documentation; system configuration settings and associated documentation; encryption mechanisms and associated configuration documentation; security plan; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with access control responsibilities for mobile devices; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Encryption mechanisms protecting confidentiality of information on mobile devices].
Access Control,3.1.19[b],03.01.19.b,,encryption is employed to protect CUI on identified mobile devices and mobile computing platforms.,,,
Access Control,3.1.20,03.01.20.0,Verify and control/limit connections to and use of external systems.,Determine if:,[SELECT FROM: Access control policy; procedures addressing the use of external systems; terms and conditions for external systems; security plan; list of types of applications accessible from external systems; system configuration settings and associated documentation; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for defining terms and conditions for use of external systems to access organizational systems; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing terms and conditions on use of external systems].
Access Control,3.1.20[a],03.01.20.a,,connections to external systems are identified.,,,
Access Control,3.1.20[b],03.01.20.b,,use of external systems is identified.,,,
Access Control,3.1.20[c],03.01.20.c,,connections to external systems are verified.,,,
Access Control,3.1.20[d],03.01.20.d,,use of external systems is verified.,,,
Access Control,3.1.20[e],03.01.20.e,,connections to external systems are controlled/limited.,,,
Access Control,3.1.20[f],03.01.20.f,,use of external systems is controlled/limited.  ,,,
Access Control,3.1.21,03.01.21.0,Limit use of organizational portable storage devices on external systems.,Determine if:,[SELECT FROM: Access control policy; procedures addressing the use of external systems; security plan; system configuration settings and associated documentation; system connection or processing agreements; account management documents; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for restricting or prohibiting use of organization-controlled storage devices on external systems; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing restrictions on use of portable storage devices].
Access Control,3.1.21[a],03.01.21.a,,use of organizational portable storage devices containing CUI on external systems is identified and documented.,,,
Access Control,3.1.21[b],03.01.21.b,,limits on the use of organizational portable storage devices containing CUI on external systems are defined.,,,
Access Control,3.1.21[c],03.01.21.c,,use of organizational portable storage devices containing CUI on external systems is limited as defined.,,,
Access Control,3.1.22,03.01.22.0,Control CUI posted or processed on publicly accessible systems.,Determine if CUI posted or processed on publicly accessible systems is controlled.,[SELECT FROM: Access control policy; procedures addressing publicly accessible content; security plan; list of users authorized to post publicly accessible content on organizational systems; training materials and/or records; records of publicly accessible information reviews; records of response to nonpublic information on public websites; system audit logs and records; security awareness training records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for managing publicly accessible information posted on organizational systems; personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing management of publicly accessible content].
Access Control,3.1.22[a],03.01.22.a,,individuals authorized to post or process information on publicly accessible systems are identified.,,,
Access Control,3.1.22[b],03.01.22.b,,procedures to ensure CUI is not posted or processed on publicly accessible systems are identified.,,,
Access Control,3.1.22[c],03.01.22.c,,a review process in in place prior to posting of any content to publicly accessible systems.,,,
Access Control,3.1.22[d],03.01.22.d,,content on publicly accessible information systems is reviewed to ensure that it does not include CUI.,,,
Access Control,3.1.22[e],03.01.22.e,,mechanisms are in place to remove and address improper posting of CUI.,,,
Awareness and Training,3.2.1,03.02.01.0,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Determine if:,[SELECT FROM: Security awareness and training policy; procedures addressing security awareness training implementation; relevant codes of federal regulations; security awareness training curriculum; security awareness training materials; security plan; training records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for security awareness training; personnel with information security responsibilities; personnel composing the general system user community].,[SELECT FROM: Mechanisms managing security awareness training; mechanisms managing role-based security training].
Awareness and Training,3.2.1[a],03.02.01.a,,security risks associated with organizational activities involving CUI are identified.,,,
Awareness and Training,3.2.1[b],03.02.01.b,,"policies, standards, and procedures related to the security of the system are identified.",,,
Awareness and Training,3.2.1[c],03.02.01.c,,"managers, systems administrators, and users of the system are made aware of the security risks associated with their activities.",,,
Awareness and Training,3.2.1[d],03.02.01.d,,"managers, systems administrators, and users of the system are made aware of the applicable policies, standards, and procedures related to the security of the system.",,,
Awareness and Training,3.2.2,03.02.02.0,Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,Determine if:,[SELECT FROM: Security awareness and training policy; procedures addressing security training implementation; codes of federal regulations; security training curriculum; security training materials; security plan; training records; other relevant documents or records].,[SELECT FROM: Personnel with responsibilities for role-based security training; personnel with assigned system security roles and responsibilities].,[SELECT FROM: Mechanisms managing role-based security training].
Awareness and Training,3.2.2[a],03.02.02.a,,"information security-related duties, roles, and responsibilities are defined.",,,
Awareness and Training,3.2.2[b],03.02.02.b,,"information security-related duties, roles, and responsibilities are assigned to designated personnel.",,,
Awareness and Training,3.2.2[c],03.02.02.c,,"personnel are adequately trained to carry out their assigned information security-related duties, roles, and responsibilities.",,,
Awareness and Training,3.2.3,03.02.03.0,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,Determine if:,[SELECT FROM: Security awareness and training policy; procedures addressing security awareness training implementation; security awareness training curriculum; security awareness training materials; insider threat policy and procedures; security plan; other relevant documents or records].,[SELECT FROM: Personnel that participate in security awareness training; personnel with responsibilities for basic security awareness training; personnel with information security responsibilities].,[SELECT FROM: Mechanisms managing insider threat training].
Awareness and Training,3.2.3[a],03.02.03.a,,potential indicators associated with insider threats are identified.,,,
Awareness and Training,3.2.3[b],03.02.03.b,,security awareness training on recognizing and reporting potential indicators of insider threat is provided to managers and employees.,,,
Audit and Accountability,3.3.1,03.03.01.0,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity. ",Determine if:,[SELECT FROM: Audit and accountability policy; procedures addressing auditable events; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; system auditable events; system incident reports; other relevant documents or records].,[SELECT FROM: Personnel with audit and accountability responsibilities; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Mechanisms implementing system audit logging].
Audit and Accountability,3.3.1[a],03.03.01.a,,"audit logs needed (i.e., event types to be logged) to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity are specified. ",,,
Audit and Accountability,3.3.1[b],03.03.01.b,,"the content of audit records needed to support monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity is defined. ",,,
Audit and Accountability,3.3.1[c],03.03.01.c,,audit records are created (generated).,,,
Audit and Accountability,3.3.1[d],03.03.01.d,,"audit records, once created, contain the defined content.",,,
Audit and Accountability,3.3.1[e],03.03.01.e,,retention requirements for audit records are defined.,,,
Audit and Accountability,3.3.1[f],03.03.01.f,,audit records are retained as defined.,,,
Audit and Accountability,3.3.2,03.03.02.0,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,Determine if:,[SELECT FROM: Audit and accountability policy; procedures addressing audit records and event types; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records; system events; system incident reports; other relevant documents or records].,[SELECT FROM: Personnel with audit and accountability responsibilities; personnel with information security responsibilities; system or network administrators].,[SELECT FROM: Mechanisms implementing system audit logging].
Audit and Accountability,3.3.2[a],03.03.02.a,,the content of the audit records needed to support the ability to uniquely trace users to their actions is defined.,,,
Audit and Accountability,3.3.2[b],03.03.02.b,,"audit records, once created, contain the defined content.",,,
Audit and Accountability,3.3.3,03.03.03.0,Review and update logged events.,Determine if:,[SELECT FROM: Audit and accountability policy; procedures addressing audit records and event types; security plan; list of organization-defined event types to be logged; reviewed and updated records of logged event types; system audit logs and records; system incident reports; other relevant documents or records].,[SELECT FROM: Personnel with audit and accountability responsibilities; personnel with information security responsibilities].,[SELECT FROM: Mechanisms supporting review and update of logged event types].
Audit and Accountability,3.3.3[a],03.03.03.a,,a process for determining when to review logged events is defined. ,,,
Audit and Accountability,3.3.3[b],03.03.03.b,,event types being logged are reviewed in accordance with the defined review process.,,,
Audit and Accountability,3.3.3[c],03.03.03.c,,event types being logged are updated based on the review.,,,
Audit and Accountability,3.3.4,03.03.04.0,Alert in the event of an audit logging process failure.,Determine if:,[SELECT FROM: Audit and accountability policy; procedures addressing response to audit logging processing failures; system design documentation; security plan; system configuration settings and associated documentation; list of personnel to be notified in case of an audit logging processing failure; system incident reports; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with audit and accountability responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms implementing system response to audit logging processing failures].
Audit and Accountability,3.3.4[a],03.03.04.a,,personnel or roles to be alerted in the event of an audit logging process failure are identified. ,,,
Audit and Accountability,3.3.4[b],03.03.04.b,,types of audit logging process failures for which alert will be generated are defined.,,,
Audit and Accountability,3.3.4[c],03.03.04.c,,identified personnel or roles are alerted in the event of an audit logging process failure.,,,
Audit and Accountability,3.3.5,03.03.05.0,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",Determine if:,"[SELECT FROM: Audit and accountability policy; procedures addressing audit record review, analysis, and reporting; security plan; system design documentation; system configuration settings and associated documentation; system audit logs and records across different repositories; other relevant documents or records].","[SELECT FROM: Personnel with audit record review, analysis, and reporting responsibilities; personnel with information security responsibilities].",: [SELECT FROM: Mechanisms supporting analysis and correlation of audit records].
Audit and Accountability,3.3.5[a],03.03.05.a,,"audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity are defined.",,,
Audit and Accountability,3.3.5[b],03.03.05.b,,"defined audit record review, analysis, and reporting processes are correlated.",,,
Audit and Accountability,3.3.6,03.03.06.0,Provide audit record reduction and report generation to support on-demand analysis and reporting.,Determine if:,"[SELECT FROM: Audit and accountability policy; procedures addressing audit record reduction and report generation; system design documentation; security plan; system configuration settings and associated documentation; audit record reduction, review, analysis, and reporting tools; system audit logs and records; other relevant documents or records].",[SELECT FROM: Personnel with audit record reduction and report generation responsibilities; personnel with information security responsibilities].,[SELECT FROM: Audit record reduction and report generation capability].
Audit and Accountability,3.3.6[a],03.03.06.a,,an audit record reduction capability that supports on-demand analysis is provided.,,,
Audit and Accountability,3.3.6[b],03.03.06.b,,a report generation capability that supports on-demand reporting is provided.,,,
Audit and Accountability,3.3.7,03.03.07.0,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,Determine if:,[SELECT FROM: Audit and accountability policy; procedures addressing time stamp generation; system design documentation; security plan; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms implementing time stamp generation].
Audit and Accountability,3.3.7[a],03.03.07.a,,internal system clocks are used to generate time stamps for audit records. ,,,
Audit and Accountability,3.3.7[b],03.03.07.b,,an authoritative source with which to compare and synchronize internal system clocks is specified.,,,
Audit and Accountability,3.3.7[c],03.03.07.c,,internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source.,,,
Audit and Accountability,3.3.8,03.03.08.0,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",Determine if:,"[SELECT FROM: Audit and accountability policy; access control policy and procedures; procedures addressing protection of audit information; security plan; system design documentation; system configuration settings and associated documentation, system audit logs and records; audit logging tools; other relevant documents or records].",[SELECT FROM: Personnel with audit and accountability responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms implementing audit information protection].
Audit and Accountability,3.3.8[a],03.03.08.a,,audit information is protected from unauthorized access.,,,
Audit and Accountability,3.3.8[b],03.03.08.b,,audit information is protected from unauthorized modification.,,,
Audit and Accountability,3.3.8[c],03.03.08.c,,audit information is protected from unauthorized deletion.,,,
Audit and Accountability,3.3.8[d],03.03.08.d,,audit logging tools are protected from unauthorized access.,,,
Audit and Accountability,3.3.8[e],03.03.08.e,,audit logging tools are protected from unauthorized modification.,,,
Audit and Accountability,3.3.8[f],03.03.08.f,,audit logging tools are protected from unauthorized deletion.,,,
Audit and Accountability,3.3.9,03.03.09.0,Limit management of audit logging functionality to a subset of privileged users.,Determine if:,[SELECT FROM: Audit and accountability policy; access control policy and procedures; procedures addressing protection of audit information; security plan; system design documentation; system configuration settings and associated documentation; access authorizations; system-generated list of privileged users with access to management of audit logging functionality; access control list; system audit logs and records; other relevant documents or records].,[SELECT FROM: Personnel with audit and accountability responsibilities; personnel with information security responsibilities; system or network administrators; system developers].,[SELECT FROM: Mechanisms managing access to audit logging functionality].
Audit and Accountability,3.3.9[a],03.03.09.a,,a subset of privileged users granted access to manage audit logging functionality is defined.,,,
Audit and Accountability,3.3.9[b],03.03.09.b,,management of audit logging functionality is limited to the defined subset of privileged users.,,,
Configuration Management,3.4.1,03.04.01.0,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",Determine if:,[SELECT FROM: Configuration management policy; procedures addressing the baseline configuration of the system; procedures addressing system inventory; security plan; configuration management plan; system inventory records; inventory review and update records; enterprise architecture documentation; system design documentation; system architecture and configuration documentation; system configuration settings and associated documentation; change control records; system component installation records; system component removal records; other relevant documents or records].,[SELECT FROM:  Personnel with configuration management responsibilities; personnel with responsibilities for establishing the system inventory; personnel with responsibilities for updating the system inventory; personnel with information security responsibilities; system or network administrators].,[SELECT FROM:  Organizational processes for managing baseline configurations; mechanisms supporting configuration control of the baseline configuration; organizational processes for developing and documenting an inventory of system components; organizational processes for updating inventory of system components; mechanisms supporting or implementing the system inventory; mechanisms implementing updating of the system inventory].
Configuration Management,3.4.1[a],03.04.01.a,,a baseline configuration is established.  ,,,
Configuration Management,3.4.1[b],03.04.01.b,,"the baseline configuration includes hardware, software, firmware, and documentation.",,,
Configuration Management,3.4.1[c],03.04.01.c,,the baseline configuration is maintained (reviewed and updated) throughout the system development life cycle.,,,
Configuration Management,3.4.1[d],03.04.01.d,,a system inventory is established.  ,,,
Configuration Management,3.4.1[e],03.04.01.e,,"the system inventory includes hardware, software, firmware, and documentation.",,,
Configuration Management,3.4.1[f],03.04.01.f,,the inventory is maintained (reviewed and updated) throughout the system development life cycle.,,,
